sha1,text
b28a422886d20956c681468838c36547bf433126,the only year that jarkko kinnunen finished in the top ten in the olympic games was in 2012 .
10ba0ef74b486aae16cfc6e36b211287492bf7c7,the majority of west worcestershire ( uk parliament constituency ) seats were won by the conservative party .
dc177d67d8eab0738c5470ca8e8e414086b75fb9,"in the 1932 vfl season , among the games where home team scored below 13.00 , two of them had attendance above 15,000 ."
da8a0151e3c9f0798d4824a33968b9f82be8dd7d,the 2nd fastest time for orlando pizzolato was in 1988 .
f20aaffd220a8610100ca2bebab833c982bbc696,the average number of viewers for all television shows in the united kingdom is around 30-35 million .
47e9745076cad3673f6fbc01466469d93506d3af,the match on 16 december 2002 had the second highest number of points .
1b63ef4076c1bf7cff83c8a6cf32970c4159d57c,"in the 1988 african cup of champions , the 2nd highest number of goals was by rl defence force ."
212667427982dd6f7805daffaf5cdbb4bfb4b868,"in the men 's double sculls at the 2008 summer olympics , luka špik was the fastest ."
0e96fe786f07daeaab878d664150fe476ac66fed,"in the 2003 new england patriots season , asante samuel was the only player to play the wide receiver position ."
8c522a1e294dfc1568e6795b59605256f5cbb8a4,bridget jones was nominated for awards for films renée zellweger did not win .
0a642f4db8cd61b1dfb01b3d1a7b3f177bd20dc8,"in the 2007 - 08 fis ski jumping world cup , the average number of points was 554 ."
2328932a3facd322e17710526ad24683485c57e5,kieron brady scored the highest number of points in the match on 24 mar 1990 .
71ca7029227a56d89fda5927b30deca536f42e17,pipat thonkanya won most of his matches played in thailand .
4d99cb4ebca9d4631a51c090cc15049d9b9e2f41,"in february 2003 , the cleveland cavaliers ' game against the wizards was the earliest in the 2002 - 03 season ."
473d3b0e806517dc4b21cf2c97c97a75a91d6f2c,the average length of the sans contrefaçon releases is 5:43 .
85e437dfacb7166f2cee9355b882764bf23bc022,the candidate who received the highest amount of votes in the 2010 philippine presidential election received the highest amount of votes .
2bea2b0520e89cb87f84dc8b314903bca53422bc,the majority of nations won 0 gold medals at the 1997 mediterranean games .
7b788c032c459bee29a30477ce2158fe0d1d3120,there were 6 game venues used during the 1967 vfl season .
2c4051c9f6ace934d3a60fa54a1d4358fc584c96,grado labs average driver - matched db is 0.1 .
8d957e2b8d8779c5e3cdf0c3c6b12afcc7a8ad8f,"for the sweden in the eurovision song contest in 1997 , the 2nd highest number of points was for n-mix ."
446bf190646823d52163b9ad95bcf2844043963b,1974 was the only year that mark donohue drove for penske .
a416bcaefe19da84f1bf1395b6ef94cda84e16ec,season 1 was the only season of the wire ( season 1 ) to have no teleplay by .
1178e7c2299cbdf9a0d430b3049cee37c5797a50,mauri rose finished in the top 20 ranked four times .
0d8dab0c9ae66a79b37fc97a346218dc8edc86c0,a total of two athletes did not advance to the quarterfinals in the 2010 asian games .
d402cda8a03588818755a66ea3a108d3dc1c8adb,the match on 14 october 1998 was the only match that joseba etxeberria scored in .
4cd42224caab13ed8ee0bac2d196082749f819fc,the average population of the blouberg local municipality in 2nd to last year was just over 10000 .
a7da83d6c4a961a74399e2cb28c77da2bfe32b3a,"in the 1939 vfl season , among the games where home team scored above 15.00 , 2 of them had an attendance above 10000 ."
f105e24f0db967679740f19f395b0861afa6c570,the average score of players in the 1954 u.s. open is 286 .
58b340b57c3fd089e92d78e575ae1086765efc52,in the list of pacific - 12 conference champions
9c580d913cca12b5a4c552da7de17a222e08d54c,the majority of games in the 2009-10 temple owls men 's basketball team were played at the verizon center .
a8894799aa9922cf5d8fde18f9634acc7c41a606,"in the 1975 formula one season , the 2nd earliest race was the british grand prix ."
f8d3f6f20ecdf27f4acd418ad42a682d7a629fc6,2004 was the only year that catalina sandino moreno won a nomination for best actress .
bbc7649f26efc15be834ca2ac1df1360dcf89665,the highest number of viewers for a tv show in the united kingdom was for the show titled princess diana .
d4232c41fa2b6625e0324274e3a80d089bf5e571,the majority of soybean oils have less than 100 g of total fat .
0a962231bbfa8d1fa08d8dfb66ac81b4d10c1c90,the longest length of a song on sans contrefaçon is 5:55 .
5b2e1f561b9df6d764235473673f9276e3f6d170,two of the universities in batangas state university are located in brgy alangin .
b5484d2ac0fa19c423692e078d65b077444d5169,"in the 1989 masters tournament , most of the players were from the united states ."
9773d119b36ee59885de1a1c43506b15e42eb3c8,empty .
21ea4a0c0e623538e1fb665bc5e45093a6fee4ee,catalina sandino moreno was nominated for the indiana awards earlier than she was nominated for the indiana awards .
3609c8f19dcf4f69ac930c59aab2bc90a8708092,hannes van asseldonk had a total of two podiums in the formula bmw europe .
36227c42eaea3fe6cae73f4292467e3f38ab6a06,empty .
ffd2024296230e5023e28d448e133b084332b296,two of the players on the usa today all-usa high school basketball team were not drafted into the nba .
1eb2dfc0ee7aa9811508f701b18526b2af58c5ee,"in the 2001 east asian games , among the nations that won 0 gold medals , two of them won 0 silver medals each ."
4162bfe3141ab04d56dee1fa7029c2e2f2d7ce95,the match on 12 december 2005 had the second lowest score of all the matches .
66273a8ccd4881a0e54df393ba9798b3eec492f6,empty .
0f5ffeb5a13f6440e25a4ecf224831ae83fc4f72,most of the corporations in the market are headquartered in petrochina .
107c93ca1beb2de2c2befd80f837b17d6265124c,empty .
d03e33b099c06f7beb3a0b3360c90facb351bbc0,the highest number of viewers for channel one was for the show warehouse 13 .
717fa9568d5e4f23a6e45050d5ecf7a8f836c1f1,all games of the 2003 - 04 detroit red wings season were played in the month of november .
9d4dc0201dbe1e7ed41b3133efc40ea07757eaae,in the uk singles chart and statistics the 2nd highest number of weeks is for frankie laine .
6c775e036f22d643a208e488ba68c25a05b18a18,most of the releases of the universal masters collection were done on cd .
7e70cba6fedb1e379f8a4ba4027ca138293905dd,two of the institutions in the east coast conference have an enrollment of over 10000 .
f7db0fa13691fda5560236187f1f702904f546a4,the average frequency of the am5x86 models is around 4.5 volts .
8a87937e38a6a45e3cd059f2aabcc1a26feebb23,1981 was the only year that isabelle huppert won best actress .
2a65b2761ca1a93469d6b66c7a419840fc4f2620,"jon the washington redskins draft history , mark sens was the only player that was drafted by the colorado college ."
3e47aebe66bf17d285423a0b7bd9f5cb71afba18,"in the 2008 fresno state bulldogs baseball season , among the games where fresno state lost , 2 of them had an attendance of over 20,000 ."
7fc4d5f70dd1ee858c9848f803274dbf339e9dec,the only year that the hughes hall college boat club finished in the top 8th place was 2012 .
a2f62adb08cb75138f857c92685e8c07e831a485,"in the 1982 election for the united states house of representatives , for those that were re-elected , two of them were first elected in 1968 ."
454d9e253f82c72e1f77d6b527d9008d24870113,empty .
08aec2dffbb3ef24496fc73ddc2d5b95bf35151d,"in the 1998 eurovision song contest , macedonia 's 2nd highest number of televotes was for tanja carovska ."
094bf86a3975dcffd99fbd04ab7be5c2d32692cb,1992 was the only year where alberta greens won less than 10 seats .
7fb3baae9f6484791b12e03e44a66972da6f207d,jacques cornu 's highest number of points was for the 350cc .
29db4fb601b8154cb359f460407b1440404d50f0,"in the atlanta falcons draft history ,"
cf811158d9c1f253804ed4d1a9c283332120ff8e,empty .
8613c2874f835afc536bfc96e868f2b801af4fb6,the alberta greens won an average of about 4 seats each year .
25f26907214aad454ba9c874b6e26666c4fb3dc7,tobias kamke 's tournament on 12 april 2010 was the only one on a clay surface .
87928c7b0622798da79b8a0febc248adc56e444d,the universal masters collection was released in the year 2012 .
4f51998715120b8ff548185f829d694e0e2c9cd6,the average number of shots taken by the players in the 1963 all - ireland senior hurling championship is 11.5 .
c79736b6780c4edfead9fc528f6b6ab99f3dab91,the binghamton dusters won a total of three games .
7c9ce7b05dc1858dfd8b0fa456ef1b04294142d0,the house of tomorrow is the second earliest released album of stephin merritt discography .
485ffabd93a9e6c9dc35e0f9334fb437c7197094,"in wru division two north , bethesda rfc was the only team to play 14 games ."
eaff21e34bd12cc0d6962832ec4777090d0ff46b,most of the players in the 1973 world championship tennis circuit were from the usa .
1699954c097e650c87467932172b87accae48650,most of the municipalities in quebec have a population over 10 .
2db166bb4c34b476af05064658e07d7054ac536f,"in the 2008 women 's british open , when the country is united states , the only time the opponent was korea was when the country was united states ."
209a90d33958d714002afeb2b86344ab3dda19e3,the average number of caps for the leading rugby union test point scorers is 11.96 .
3d76a9158c592b37dbb8f29d1ef32b5860a93682,the dallas mavericks ' game against american airlines center was the earliest in the 2009 - 10 season .
8c435a919ed85035268f574abe02b936a23c6645,a total of two football matches were played on the loftus road .
4cf1adf5d8b3a4b2e01762a383b9d6d9c33e8a98,mount aspiring / tititea is the only one of ultras of oceania with a elevation of over 3000 meters .
8ea2f277bd2724b4f3fd246663de04e4fa9bc919,there were 6 game venues used during the 1942 vfl season .
5066b6d5cfecc6922298a9264f3bbb552dae8278,"two of the tallest buildings in rochester , new york are at least 400 feet tall ."
dee3159055a46f9e8b848ee8ee5664322c1b3045,the average pick for the buffalo bills in 2004 was 214.5 .
4727708de1d2673a4ca48f4de989b4e7356d22bd,there were 6 game venues used during the 1939 vfl season .
00df9d7b8da7b221db89149df1a75e948ffcbde8,"in the 2007 lff lyga ,"
e4588f9e7b5b8759df084732ac5c8b44c6273c22,alvin mckinley was the only player that was drafted by the 2000 carolina panthers .
12d1abe2cf761a346bb2b8397f206825fa383dcc,the bradford bulls won most of their matches in the 2000 season .
14490a7f84d0137fc3d589bfb9f517757b2fcb5a,two of the schools in the tri - eastern conference are located in the east central / whitewater valley .
4a34f19f240b243ccbb9073fe10f6a981bed75ee,two of the 200 metres athletes are from fayetteville .
1b716b9b4ff9cdf57bb0b27d2a3fca6630db886c,"the fight between rio rancho , new mexico , united states was the only fight that took less than 10 seconds to finish ."
dc0b7313d901429c7a853f06abf6493fb8c5f879,there were two friendly matches played by fahed attal .
654b592bf0e00a21d16d6557b13eb5d24383afe5,two of the largest airlines in south america have a star alliance status .
b17bffb4f3b5c539824c0af5645c6cc509b01d39,juan bravo murillo was elected to office before he ran for mayor .
ccb5a06b5f68187af057338e4e18b3d708574155,only soybean oil has less total fat than canola oil .
1b2ea04a4717f4f2d6b8d96decd4329630541172,there were 6 game venues used during the 1978 vfl season .
467f55819168e7a5ab7ab31ff18c65a0d8e62c48,the highest number of hatem aqel 's international goals were scored in 2006 .
3ec14f8fb75b524f5d22ac4e2ed6d45aea41b14a,the 2nd highest number of runs was for andrew gait .
93c923f186de3babb800e0263ff9d8612201e35b,"in the 2008 women 's british open , two of the players were from the united states ."
2a1392383276c16da55b491bd1d418e8004703dd,"in the 200 metres ,"
b54bd841181b5f637b05d3ef508c54d2edd2e9b3,the mcg venue recorded the highest crowd participation during the 1968 vfl season .
e8217a6c3cd5849041e86a120876afad4d01e92d,"two of the universities in batangas state university are located in brgy alangilan , batangas city ."
70e3a75db000a758d18a71b6a2041ae5804ad5f6,james calado had the highest number of points during the 2009 season .
59edfb02be8e3faae622c3c7983d8371781f51e0,the match played on 14 august 2005 was the only one played on a clay surface .
115c6f0ba880fcf0f5d8809dfd382ef3251e27b2,greg jones played a clay surface before playing a hardball tournament .
8bc53c4d435a9ed064df8de1253f50d7ec506504,the average viewership for the green green grass episode was 4.5 million .
5c6c4ca60b158a07ec887b55b26e1d4e6c7b9196,the average time for the women 's 200 metre breaststroke at the 2008 summer olympics was 2:26.42 .
7159fb27c09b219d59079774ddb98bd6e574c8a1,sara nordenstam was the only participant in the women 's 200 metre breaststroke at the 2008 summer olympics .
75e3688065e25c716ffe4120ec99be0c074efd2b,most of the railway stations in croydon are managed by tramlink .
968e5367ca733c678a873b84c0af95569d6e2f0e,"in the 1993 pga championship , among the players from the united states , two of them had a score of -12 ."
8c9486c108e11c5fe7713817912d65603d6200ff,in the list of inter milan records and statistics
d7b1b2f61f303c1a5259c390e42f42e776c72917,"in the 1932 vfl season , among the games where home team scored above 15.00 , 2 of them had an attendance above 15,000 ."
de744e3cab92f0c3b5e7f1a9fe9e246c45b1794a,"in the 2000 u.s. open ,"
27269146314ef04e8bfeb679c0045ea36486047d,ke
8692aaed8cc4ad7a2277443541e7a8107e857b09,terry alderman is the only player that played 513 matches in herffield shield .
b56838711d681336ba0d828bbbc631eb6c6fd5c2,the average student enrollment of ohio river valley - western indiana high schools is 959.5 .
e4f223bc9dc74389c668949d278a4d232bb707d4,there are two versions of microsoft windows that do not include ntfs .
1ab64a8643903cd783616952f0f4957380410a97,never too much is the only week that scott savol did not make it to the finals .
6074946ef2267a362eac2217f59b023b7a313113,"for turkish cup , the player with the 2nd highest amount of apps is hami mandıralı ."
c0fabceb721f1fc3250474ca2e2b3b325dbaf216,the majority of ships in the list of active finnish navy ships are from the katanpä class .
d8dcaf50fc291ad4d4b8e8a763d1e63a7cd7cd34,"in the 1963 eurovision song contest , when the language is english , the only time the artist was annie palmen was when the artist was annie palmen ."
ad9405c80daba720c59bda8f63e7af8eed2fc5ce,bridget jones was nominated for awards for the majority of renée zellweger 's nominations .
8c20a502d41244b8d91182aeb2a1f5180bb8a143,vissel kobe had an average of about 13.5 million people in attendance each season .
fc36521e14891fc0e24c2a83cbf1c049d8859856,mario mandžukić scored more goals in the 2010 world cup qualifying competition than in the 2010 world cup qualifying .
ea721bf7c52c41356b26d5a603e5d29b507f0a3b,"in the list of cinema and movie theater chains , the 2nd highest number of screens was for the cinema and movie theater group ."
4c32ad4e5c47ca93e62b3c923998166a51bd9ddc,"in the 1997 mediterranean games , among the nations that won 0 gold medals , two of them won 0 silver medals each ."
a675b0047689dfda5beffc9b03a5c9bee14b8ca9,the 2012-13 season was the only season in which fc union berlin was promoted .
de23a40e664e0010d32022d9a19b6b4429a1e318,"william f clinger , jr."
37c8f42bbf294ba548e7f3ad7a384fb1a3c8df70,"in the 1958 brazilian football season , the only team that had 15 points was botafogo ."
df01beb0d0fe2502378448b1120661677dd940f8,the tournament played on 14 august 2005 was the only one played on a clay surface .
23646d39a036714cb1042b78667dd76981c60a90,andreas kã ¼ ttel had the 2nd highest overall wc points in the 2007 - 08 fis ski jumping world cup .
646e9e7e6ea719e5a8d9bc0cf6397fba0676beb3,"in the 2009 copa sudamericana , at the 2nd leg , the only team to score 1 - 1 is atlético mineiro ."
8ae4be48e9f81ccb6b856fa1db6b7469425d9b78,greg jones played a total of four tennis tournaments on a clay surface .
2fbaeba469f006f16188ae4a6a3f3cff3156e60b,"in the 2007 - 08 fis ski jumping world cup , thomas morgenstern scored more points than andreas kã ¼ ttel ."
62dc6025cde136d7843d1a502a20f56ce1e0f3f9,"in the 2001 fivb volleyball world league , among the games where na was the opponent , 2 of them had a total score of over 100 ."
4de8f6a13ac3293e50f8864dc3febd7117333e7b,the average student enrollment for the indiana high school athletics conference is 1167 .
2b8c035c60e597566e3f1ba2202c93303533c2e9,empty .
6bdb6d99bfb48c651dfb6c3ae3741f28f43f9347,"in the 1895 - 95 fa cup , among the games where home team was nottingham forest , 2 of them had a score of less than 10 ."
6b38cf7999b45001745cbcea0ea597e75f1ebf3f,jarkko kinnunen 's average position in the world youth championships is 1st .
68fad40374fd026ad84e7e7d50052f0fc2782528,the average number of points that mark blundell scored in his career is 1.5 .
c5a5cafaa1ddda6245423feb32338486a37c9fcf,empty .
01e2b89e223dc9e66c8412ac40610b0ff7b5ae9a,two of the incumbents were re-elected in 1992 .
b3420e93ca884ebd855955cf4774c11a2417c3f5,mount aspiring / tititea has the 2nd highest elevation of all ultras of oceania .
e14020933fa6c7f94b0a9ee16cdc7052daca1660,giuseppe buttari finished in the top 10 of the mediterranean tour .
fc91e1c95ecc28c2d8013705225a57bd632e4ad8,"in the 1990-91 boston bruins season , among the games where boston bruins were the visitor , 2 of them had pittsburgh penguins as the home team ."
68c1baecfad633a9e0195f9204df8a5e1dc1a6cc,empty .
65639497454311f879a8ca8ff202be4ac0cc4e56,empty .
23cc7c935ab48162f3019c4284c379ace6cc956f,"in the 1997 world club championship , the 2nd highest number of points was for wigan warriors ."
104d43c19cf9008ebdd9f24e9d27ce3052c28877,the brabham bt59y engine drove the highest amount of points for motor racing developments ltd .
8be9f1cb2cf6c80ccf050ea7f02bfe97723a4cb5,empty .
534b130560d3395eefd675d7be59400549169c4e,empty .
a7b179d76470227649dc9879990fe68b58597d3e,the average founding date for the institutions in canada is 1912 .
e2b77e9009d5e8c6ca024e5b569ed131e81608f9,empty .
4c694b7103442ed93934286989426f46b58e3027,the 2nd fastest time for orlando pizzolato was in 1988 .
42e125917a2aeec1b51ed83baae82243045d9362,joseph estrada received more votes than joseph estrada in the 2010 election .
a1c8b3036158c551660f74e1385f93873fd80266,"for the mandsaur ( lok sabha constituency ) , the 2nd highest number of electorates was for manasa ."
565eb6cd401a99608046c557856d9fcb890626c0,john powell directed a total of three films that were released by the studio n/a .
0b0ad23652065569c9869438537b66a05aff9ccf,"in the seattle supersonics all - time roster , pervis ellison ranks the highest ."
8002cbeeb52108a3aae4d4e0674a230b03166225,in the list of locomotives of the southern railway
0deb9b65a9fc34a85106f3d9a58a8c5942fbe1ac,two of the players on the list of paris saint-germaines f.c. played in the forward position .
f6be64ccb6791f3b8bba748ea88a0d2b6a17f4b8,two of the railway stations in croydon are managed by tramlink .
589b5a4bf0e5fd8b7236762d9415a55708ca74c6,the average hand guard length of the ar-15 variants is about 20 in .
bf6f658dc68e0c120c9c85b113424f845ca99d58,episode 5 was the only episode of lark rise to candleford to air in 2009 .
d500484099fa42b53ee2c90064088fdc6df27ee1,most of the releases of the universal masters collection were done on cd .
28c17494e257bee2469782ee9f922a491f466238,"in the 1991-92 manchester united f.c. season , the 2nd highest number of h/a was when the ferguson team was the opponent ."
7901825c94eac07eb04e73b632921b5a0ca86a6d,the majority of computer systems emulators have a freeware license .
220f67f009c2f149d087c53716242fbe49676f4b,for börje jansson the total number of wins from 1969 to 1982 was 18 .
4f570fd84603a6e255e87e483980571adadef387,the second highest number of votes for the finnish people 's democratic league came from the year 1960 .
0ac0498cb01c4cf4303a72c9fbf32743143463b7,there were 6 game venues used during the 1933 vfl season .
032ec7751181dbf4f499414041316f842bf1b844,the new york giants lost most of their games in the 1963 season .
2c3de442b8756d7a216c1e92173d09c94774f82b,empty .
1c4c3af14995f6d5ad29aa28da2c77dec6b27621,the average number of leading scorer for the cleveland cavaliers was 11.5 .
c7af28e4bc3826504627be7d5d287b281f0be7c4,abebech negussie finished in the top 10 ranked a total of four times .
4477b5d2c74a374ad64a482a9293c0c3e2ce20da,there were 6 game venues used during the 1978 vfl season .
4cf68d6f159a61ce66760123bd6c7c3ca8cdf78c,the average number of draws for all games in the 2002-2003 hong kong first division league is 14.5 .
2fd7494bae7e62703391f67952e6b73d4d8994af,robert guérin was the second earliest president of fifa to take office .
6ddcfff17550dc72809305c44950c4be66d39349,bong hawkins was the only player that was acquired by the powerade tigers .
81d9564cc206c7f48e5b948c0137e363507f3e30,"for best foreign language film , when the director is not nominated , the only time the director is not nominated is when the director is not nominated is when the director is not nominated ."
209a7e19717f28bbaa86d0aa56dbd3f2431fa876,catalina sandino moreno won three awards for her participation in films .
cba288f85504e00a300cba2feeb945a79fcd779b,"in the 1932 vfl season , the only time the venue was victoria park was when the home team was richmond ."
d5d359f322aee6b4f6de5f7303f4a22a4f8b9a7d,"in the 1960 green bay packers season , the 2nd to last pick was dale hackbart ."
2705c239487abe592a0d72b6a7b2e5b1ef3de100,"in the atlanta falcons draft history , the only player to go to college at san josã state was r c thielemann ."
ce697cacd6d0d5b32db442fa4044268dfdbefd0b,the average against for the 1981 england rugby union tour of argentina was 4.5 .
54233965e796c3b3a2b18e6c5d9dba77a26219a4,"in the 1956 - 57 tunisian ligue professionnelle 1 , the 2nd highest number of points was for espérance de tunisien ."
2ecf9139ab3982889019e4269f38249957a5a140,the average total medal count for athletes in the fibt world championships is 8 .
6428c23aed103941a717727c0bef07fb340f3f3d,empty .
c9f34877a58b3b1df4d10e6ea76c8a0876d40331,marítimo was the only player to leave the team pedro martins .
de9bede5c06430b4d529a871c798dd0f72194f68,the majority of tournaments that benedict ako participated in were team competitions .
c99f9bfdccf8a25244fe26250abb80fc4549b884,most of the releases of i brought you my bullets were done on cd .
d7983f37f68a32ea3fdfe002a879e1f022e3804f,the r4 / 16 cylinder engine has the highest max power kw ( ps ) at rpm .
ea2a92d9e918f81af8cc6222cebe0804eaa659fc,the mcg venue recorded the highest crowd participation during the 1972 vfl season .
95de5130a465be7254c9d818f692ec9798d78587,"in the 1987-2005 season of espn sunday night football , among the games where the host team was the new york giants , two of them had an attendance of 20-14 ."
d1fbe51546e2b7b825cc3221fd61a7e4e5363b0d,"in the 2006 atlantic championship season , among the winning teams , two of them had a pole position of over 10 ."
59d6f17e010b5ee64c0852ff28cd798e54f87aa0,there were two weeks where scott savol sang a song about freddie jackson .
b26d374132de832fffa1b017e75acca6c025fdc0,"in the 2003 new england patriots season , the 2nd highest number of picks was for asante samuel ."
65f27e6b0223fb384a0c88d27d9401e45f249b42,there were 6 game venues used during the 1939 vfl season .
d56af4b99f9c79e689c62df9449416b088ea952c,two of the cars made by toyota competed in the 2008 nascar craftsman truck series .
251993df2967d405b8c7c808c4621ae32ccbdb14,the only player that the indianapolis colts drafted from florida state college was antony jordan .
9ac3a6ab4dc0f7c936a5717ef9fe62c6320bfd91,two of the presidents of fifa were born in the year 1956 .
47c00f197413ff8eb4415b267c22b224cff326cd,bill gallagher wrote most of the episodes of lark rise to candleford .
d6dad78091fd67fb6d91b7a12bb6b9a10ae820cd,most of the schools in the northland conference joined in 2008 .
ff9d702f70f79ee10c741a29d732d6e971a408b2,"in the 2007 eneco tour , among the stages where nick nuyens was the winner , 2 of them had a cofidis classification ."
533fe96c307fd269543a6c2560e8c394273259ed,"in the 2011 eurovision song contest , serena abrami was selected as an esc entrant three times ."
9eea4529ed61e396ba0c26dc5acb4570998466ca,empty .
1578ae99d0606126509c1aaaced6c88e4c833287,the binghamton dusters won a total of four games .
5a6511847c5327a6391cb8e686fde76538dfabc9,the itanium 2 9010 model has a higher release date than the itanium 2 9011 model .
1fc00eee8d5440b6048f5f9861cac54603e56e5c,"in the papal election in september 1276 , simone paltineri was elected first ."
685258bf0621ff3f1d4ae7e1551643c9fa4e8d86,charl schwartzel had 2 wins in the open championship .
13ab7eb344cd1dfc11a8e6773ae5bf5dec87ab50,"in the 1961 fil world luge championships , among the nations that won 0 gold medals , 2 of them won 0 silver medals each ."
33d9c41bc57572981629c1ad15f55070144abf57,empty .
dd3b47e196d8246859203b797fa1b05cd5cfe352,"the game on september 26 , 1976 was the only game in which the buffalo bills lost ."
ad3003c6a2c1820f4b2814b46f5aa17af1930ff4,the 1981 toronto blue jays game against the mclaughlin ( 0 - 5 ) was the earliest in the 1981 season .
a0c5ac84ded4c511b2a8113b42c68aa3690bc8c2,"roberto ribaud finished in the top ten of the athens , greece event three times ."
00d3454092fa2d3eb683e3f4c9de9d92b4eb10bb,mauri rose finished in the top 20 ranked four times .
6634e7ea6880cacf6a8a2498dfc1822f7ead9e11,all of the winners of the 500 festival open invite had an average score of around 277 .
45d4d6a745457d06747e06d4dbc7ec522fbaa58a,"in the 1960 green bay packers season , the 2nd to last pick was dale hackbart ."
9b9dc886a6051b44860c4c0893899b661c5d7f67,"for the warship naval campaign of the war of the pacific , the warship magallanes had a higher speed than the warship abtao ."
e81976e160e473ff905a2fb5e5fa8c24e21ade00,two swimmers finished with a time of 25.00 .
322ee56501ad73b759ecd70b9d1bbb1ad4161ec1,the municipality with the highest population in quebec is matagami .
26567c93a3156a2e276c91d86489649477cd1429,there were 6 game venues used during the 1955 vfl season .
7728a36be04b0b1888a2dbea6f5323bf2a01a8c1,empty .
36b64dbadb6971dca8aea12632e7e86e5ee72808,empty .
28467bb2496fa0381c8130906b5a111772992bb3,david crawshay had the second fastest time in the men 's double sculls at the 2008 summer olympics .
b222a8a9cc367eb5d77bfb78505b2a89bc4afc0b,"in the 1996-97 european challenge cup , the average number of tries for was 12.5 ."
4ccbd0ca147347d10addd1172064e29e359a4793,the average student enrollment of schools in the northern nevada 4a region is 1511 .
1957e4295a3f859ff65443bbc025c22b780608fe,melanie redman - carr was the runner-up in the majority of events in the 2006 asp world tour .
74297653dff18abaa1e421c5f12c5b974af13189,kwale county had the highest population in the coastal province of coast .
941e160017f1564eb8da7ebb46f78d086f6022f2,"in the list of cinema and movie theater chains , kansas city , mo has the 2nd highest number of screens ."
63796eb7b170e0008f38c529a6ff01f5a0bef33a,"in the 1984 u.s. open , the average number of strokes to par was -3.5 ."
82731a24f8f1178ae19ac2890298d49a45afee84,"in the 1990 u.s. open , two players from the united states had a total score of 286 ."
1a2dccfe500a360eb73e3bbd380f3d5339a818cd,most of the corporations in the market are headquartered in the city of petrochina .
81118cd307c06c9f5d17808890beb60b3a278a02,the average number of players signed by the 1966 los angeles dodgers was 4 .
5f69d0852092f6239f039a49bc6c250fdd635e4b,the average margin for the horses in the high - rise is 1.5 .
5a1be133cb5377b64a208373600e3f1cb723eae2,"in the 1991-92 new york rangers season , the only game against the detroit red wings was on 12 january ."
c7e3442cf135d7070bce8869e142b4ee3a31403b,the average against for the 1963 england rugby union tour of australasia is 11.5 .
790e64a0b037ee6516e3925d885a6d208699979b,the mobile athlon 64 2800 + has the highest frequency of the amd mobile microprocessors .
ac49c70b1fe15c6a579942a0b8b625f69e9538ca,chungju is the only team to play at the goyang stadium .
