sha1,text
0d8dab0c9ae66a79b37fc97a346218dc8edc86c0,4 athletes in the india at the 2010 asian games did not advance to the quarterfinals .
d402cda8a03588818755a66ea3a108d3dc1c8adb,"joseba etxeberria 's score on november 19 , 1997 was the only score of any of her competitions ."
4cd42224caab13ed8ee0bac2d196082749f819fc,the majority of the places in the blouberg local municipality are in the northern sotho region .
a7da83d6c4a961a74399e2cb28c77da2bfe32b3a,"in the 1939 vfl season , the game played at the brunswick street oval had a bigger crowd than the game played at the brunswick street oval ."
f105e24f0db967679740f19f395b0861afa6c570,"in the 1954 u.s. open ( golf ) , the total amount of money won was 1584 ."
58b340b57c3fd089e92d78e575ae1086765efc52,"the university of california , davis has the highest enrollment of any of the conference champions ."
9c580d913cca12b5a4c552da7de17a222e08d54c,"in the 2009-10 temple owls men 's basketball team , most of the games resulted in wins for the temple owls ."
a8894799aa9922cf5d8fde18f9634acc7c41a606,only one race was run on march 1st .
f8d3f6f20ecdf27f4acd418ad42a682d7a629fc6,catalina sandino moreno 's nomination for the london critics circle film awards was earlier than her nomination for the satellite awards .
bbc7649f26efc15be834ca2ac1df1360dcf89665,1966 world cup final had the highest number of viewers of all television in the united kingdom .
d4232c41fa2b6625e0324274e3a80d089bf5e571,most of the oils listed have less than 100 grams of total fat .
0a962231bbfa8d1fa08d8dfb66ac81b4d10c1c90,the longest version of sans contrefaçon is the music video version .
5b2e1f561b9df6d764235473673f9276e3f6d170,jessie a montalbo was the second director of the batangas state university campus in the year 1952 .
b5484d2ac0fa19c423692e078d65b077444d5169,most players which participated in the 1989 masters tournament were from the united states .
9773d119b36ee59885de1a1c43506b15e42eb3c8,there are three radio stations that play on the same frequency .
21ea4a0c0e623538e1fb665bc5e45093a6fee4ee,catalina sandino moreno 's london critics film awards were earlier than the maria full of grace awards .
3609c8f19dcf4f69ac930c59aab2bc90a8708092,hannes van asseldonk had a total of 0 wins in 6 different series .
36227c42eaea3fe6cae73f4292467e3f38ab6a06,the call sign k251ah operates on a higher frequency than the call sign coax .
ffd2024296230e5023e28d448e133b084332b296,most of the all-usa high school basketball team players were not drafted into the nba .
1eb2dfc0ee7aa9811508f701b18526b2af58c5ee,south korea had the most gold in the judo at the 2001 east asian games .
4162bfe3141ab04d56dee1fa7029c2e2f2d7ce95,jahid hasan ameli 's highest scoring match in the competition on april 6th .
66273a8ccd4881a0e54df393ba9798b3eec492f6,"in the 2000 eurovision song contest , guide ranks the highest ."
0f5ffeb5a13f6440e25a4ecf224831ae83fc4f72,the majority of corporations with the greatest market capitalization have less than 250000 in capitalization .
107c93ca1beb2de2c2befd80f837b17d6265124c,all of the kjrt radio channels are in texas .
d03e33b099c06f7beb3a0b3360c90facb351bbc0,the sarah connor chronicles had the most viewers of all the channels .
717fa9568d5e4f23a6e45050d5ecf7a8f836c1f1,the average attendance for the 2003 - 04 detroit red wings season was 19119 .
9d4dc0201dbe1e7ed41b3133efc40ea07757eaae,bohemian rhapsody 's week 1st appearance on the uk singles chart and statistics is the only one on i will always love you .
6c775e036f22d643a208e488ba68c25a05b18a18,there are 5 record releases of the universal masters collection .
7e70cba6fedb1e379f8a4ba4027ca138293905dd,queens college has the most enrollment among institutions in the east coast conference .
f7db0fa13691fda5560236187f1f702904f546a4,the average frequency for the am5x86 range is 3.90 90 repeating .
8a87937e38a6a45e3cd059f2aabcc1a26feebb23,"for isabelle huppert , for group awards , the 2nd to last film to be nominated was the piano teacher ( la pianiste ) ."
2a65b2761ca1a93469d6b66c7a419840fc4f2620,darwin robinson was selected in an earlier round than joe miller .
3e47aebe66bf17d285423a0b7bd9f5cb71afba18,the fresno state bulldogs ' game on june 24 recorded the highest attendance .
7fc4d5f70dd1ee858c9848f803274dbf339e9dec,the hughes hall college boat club finished in 4th place in 2009 .
a2f62adb08cb75138f857c92685e8c07e831a485,"in the 1982 united states house of representatives elections , two of the candidates were reelected ."
454d9e253f82c72e1f77d6b527d9008d24870113,2006 was the only year that sony japan was the label that released a cd of the 1958 miles .
08aec2dffbb3ef24496fc73ddc2d5b95bf35151d,vlado janevski had the highest recorded rank in the 1998 eurovision song contest .
094bf86a3975dcffd99fbd04ab7be5c2d32692cb,alberta greens received more votes in 2001 than he did in 2002 .
7fb3baae9f6484791b12e03e44a66972da6f207d,1980 was the only year that jques cornu had a total of 47 points .
29db4fb601b8154cb359f460407b1440404d50f0,dave farmer was drafted in an earlier round by the atlanta falcons than don parrish .
cf811158d9c1f253804ed4d1a9c283332120ff8e,2008 was the only year that jack arute was the lap-by-lap commentator for the napa auto parts 200 race .
8613c2874f835afc536bfc96e868f2b801af4fb6,alberta greens received a total of 31.2 % of the popular vote in alberta greens .
25f26907214aad454ba9c874b6e26666c4fb3dc7,"tobias kamke 's match against baton rouge , us was the earliest in his career ."
87928c7b0622798da79b8a0febc248adc56e444d,the only time the universal masters collection was released was in 2008 .
4f51998715120b8ff548185f829d694e0e2c9cd6,9 players are listed as members of the 1963 all - ireland senior hurling championship .
c79736b6780c4edfead9fc528f6b6ab99f3dab91,74 was the only season in which binghamton dusters tied .
7c9ce7b05dc1858dfd8b0fa456ef1b04294142d0,the majority of stephin merritt discography were released by realism .
485ffabd93a9e6c9dc35e0f9334fb437c7197094,welshpool rfc had a higher number of wins than bro ffestiniog rfc in the wru division two north .
eaff21e34bd12cc0d6962832ec4777090d0ff46b,all of the players in the 1973 world championship tennis circuit had 34 matches .
1699954c097e650c87467932172b87accae48650,the average population of municipalities in quebec is 3289 .
2db166bb4c34b476af05064658e07d7054ac536f,laura diaz had a higher score than the player laura mcpherson .
209a90d33958d714002afeb2b86344ab3dda19e3,most of the leading rugby union test point scorers had at least 50 caps .
3d76a9158c592b37dbb8f29d1ef32b5860a93682,the average attendance for the dallas mavericks ' game against at & t center is 18581 .
8c435a919ed85035268f574abe02b936a23c6645,"in the loftus road race , of the sports that were won in iceland , most of the winners were england ."
4cf1adf5d8b3a4b2e01762a383b9d6d9c33e8a98,"in ultras of oceania , of the ultras of oceania peaks that have less than 3000 in elevation , the only one with a col ( m ) is mount ruapehu ."
8ea2f277bd2724b4f3fd246663de04e4fa9bc919,"in the 1942 vfl season , most games had an attendance of over 10000 ."
5066b6d5cfecc6922298a9264f3bbb552dae8278,"4 of the tallest buildings in rochester , new york were in the 1990 's ."
dee3159055a46f9e8b848ee8ee5664322c1b3045,"in the 2004 buffalo bills season , 2 players were picked in round 7 ."
4727708de1d2673a4ca48f4de989b4e7356d22bd,all games of the 1939 vfl season were played on the 17th of june .
00df9d7b8da7b221db89149df1a75e948ffcbde8,"in the 2007 lff lyga , rodiklis kaunas had the most goals scored ."
e4588f9e7b5b8759df084732ac5c8b44c6273c22,"in the 2000 carolina panthers season , leander jordan was the only player picked in the 6th round from indiana university of pennsylvania ."
12d1abe2cf761a346bb2b8397f206825fa383dcc,"for the 2000 bradford bulls season , the average number of goals was 34.8 ."
14490a7f84d0137fc3d589bfb9f517757b2fcb5a,two of the schools in the tri-eastern conference ( ihsaa ) are in the county of liberty .
4a34f19f240b243ccbb9073fe10f6a981bed75ee,"in the 200 metres , 7 athletes were from the lievin region ."
1b716b9b4ff9cdf57bb0b27d2a3fca6630db886c,raphael butler 's fight against richard white went more rounds than his fight against jeremy beck .
dc0b7313d901429c7a853f06abf6493fb8c5f879,"in the games played on april 6 , fahed attal scored the highest number of goals ."
654b592bf0e00a21d16d6557b13eb5d24383afe5,the majority of largest airlines in south america are in the tam airline .
b17bffb4f3b5c539824c0af5645c6cc509b01d39,juan bravo murillo served a higher proportion of the votes in badajoz than in fregenal de la sierra .
ccb5a06b5f68187af057338e4e18b3d708574155,soybean oil has a higher degree of polyunsaturated fat than rice bran oil .
1b2ea04a4717f4f2d6b8d96decd4329630541172,there were 6 game venues used during the 1978 vfl season .
467f55819168e7a5ab7ab31ff18c65a0d8e62c48,hatem aqel 's competition in amman was the earliest in terms of when he scored the highest .
3ec14f8fb75b524f5d22ac4e2ed6d45aea41b14a,2 of the derbyshire cricket records are set by kim barnett .
93c923f186de3babb800e0263ff9d8612201e35b,"in the 2008 women 's british open , for players that were n't in 2nd , the average score was 7 ."
2a1392383276c16da55b491bd1d418e8004703dd,shawn crawford was the only player from kevin little 's team in the 200 metres .
b54bd841181b5f637b05d3ef508c54d2edd2e9b3,mcg was the venue that drew the highest crowd attendance in the 1968 vfl season .
e8217a6c3cd5849041e86a120876afad4d01e92d,six of the campuses of the batangas state university were founded in the year 1994 .
70e3a75db000a758d18a71b6a2041ae5804ad5f6,james calado had the most points in the 2010 season .
59edfb02be8e3faae622c3c7983d8371781f51e0,"of the tournaments that magdal na rybová participated in , 3 of them were in petra kvitová ."
115c6f0ba880fcf0f5d8809dfd382ef3251e27b2,"in greg jones 's tennis career , the only time he played on a grass surface was in australia ."
8bc53c4d435a9ed064df8de1253f50d7ec506504,the average viewership across all episodes of the green grass is around 4.75 million viewers .
5c6c4ca60b158a07ec887b55b26e1d4e6c7b9196,8 athletes participated in the women 's 200 metre breaststroke at the 2008 summer olympics .
7159fb27c09b219d59079774ddb98bd6e574c8a1,sally foster had a faster time than anne poleska in the women 's 200 metre breaststroke at the 2008 summer olympics .
75e3688065e25c716ffe4120ec99be0c074efd2b,the majority of railway stations and tram stops in croydon are managed by the same name .
968e5367ca733c678a873b84c0af95569d6e2f0e,"in the 1993 pga championship , the average number of strokes to par was -7.6 ."
8c9486c108e11c5fe7713817912d65603d6200ff,"in the list of inter milan records and statistics , giuseppe meazza ranks the highest ."
d7b1b2f61f303c1a5259c390e42f42e776c72917,"in the 1932 vfl season , among the games where home team scored above 14.00 , 3 of them had attendance above 10000 ."
de744e3cab92f0c3b5e7f1a9fe9e246c45b1794a,"in the 2000 u.s. open , of the players from south africa , the only one who finished 3rd is ernie els ."
27269146314ef04e8bfeb679c0045ea36486047d,"in the eurovision song contest of 2008 , albania 's song "" flaka krelani & doruntina disha "" ranks the highest . "" ."
8692aaed8cc4ad7a2277443541e7a8107e857b09,"in sheffield shield , clarrie grimmett 's innings , the player with the highest wicket average is clarrie grimmett ."
b56838711d681336ba0d828bbbc631eb6c6fd5c2,the average enrollment of ohio river valley - western indiana high schools is 738 .
e4f223bc9dc74389c668949d278a4d232bb707d4,there are four versions of the microsoft windows that do not support the ntfs .
1ab64a8643903cd783616952f0f4957380410a97,the only week that scott savol was in the top 7 in 1970s was when he was in the top 7 in the 1970s dance music .
6074946ef2267a362eac2217f59b023b7a313113,"in the turkish cup , the player with the highest goals is mehmet yılmaz ."
c0fabceb721f1fc3250474ca2e2b3b325dbaf216,"of the active finnish navy ships , most of the ships are built by the finland corporation ."
d8dcaf50fc291ad4d4b8e8a763d1e63a7cd7cd34,"in the 1963 eurovision song contest the song sung "" ronnie carroll "" earned 12 more points than the song "" carmela corren . "" ."
ad9405c80daba720c59bda8f63e7af8eed2fc5ce,"six of renée zellweger 's nominations and awards were for the film "" renée zellweger "" ."
8c20a502d41244b8d91182aeb2a1f5180bb8a143,the average attendance for vissel kobe during his career is 11360 .
fc36521e14891fc0e24c2a83cbf1c049d8859856,mario mandžukić scored a total of 14 june 2012 in the world cup .
ea721bf7c52c41356b26d5a603e5d29b507f0a3b,amc entertainment inc has the most screens of any of the film and theater chains .
4c32ad4e5c47ca93e62b3c923998166a51bd9ddc,"in judo at the 1997 mediterranean games , spain won the most gold medals ."
a675b0047689dfda5beffc9b03a5c9bee14b8ca9,the 2011-12 season was the only promotion to the 2 . bundesliga season in which the team was sv sandhausen .
de23a40e664e0010d32022d9a19b6b4429a1e318,curt weldon was first elected earlier than john murtha in the 1994 united states house of representatives elections .
37c8f42bbf294ba548e7f3ad7a384fb1a3c8df70,amãrica was the only team in the 1958 brazilian football league that played less than 10 games .
df01beb0d0fe2502378448b1120661677dd940f8,"průhonice - prague , czech republic was the only tournament in which magdaléna rybáriková used a carpet surface ."
23646d39a036714cb1042b78667dd76981c60a90,thomas morgenstern scored the highest number of points in the 2007 - 08 fis ski jumping world cup .
646e9e7e6ea719e5a8d9bc0cf6397fba0676beb3,"in the 2009 copa sudamericana , when the first leg is 0-3 , the only time the second leg is 0-3 is when the team is blooming ."
8ae4be48e9f81ccb6b856fa1db6b7469425d9b78,"in greg jones 's tennis career , of the tournaments that he played in , the only one in australia was on 5 ."
2fbaeba469f006f16188ae4a6a3f3cff3156e60b,"in the 2007 - 08 fis ski jumping world cup , janne ahonen scored the highest overall wc points ."
62dc6025cde136d7843d1a502a20f56ce1e0f3f9,"in the 2001 fivb volleyball world league , among the games played in na , 2 of them were set 1 ."
4de8f6a13ac3293e50f8864dc3febd7117333e7b,the average enrollment of schools in the indiana high school athletics conference is 1535 .
2b8c035c60e597566e3f1ba2202c93303533c2e9,"tobias kamke 's only match in germany took place in the month of granby , canada ."
6bdb6d99bfb48c651dfb6c3ae3741f28f43f9347,"in the first round of the 1894 - 95 fa cup , aston villa had the highest score ."
6b38cf7999b45001745cbcea0ea597e75f1ebf3f,the majority of jarkko kinnunen 's competitions took place in the 50 km race .
68fad40374fd026ad84e7e7d50052f0fc2782528,the average number of points for mark blundell is 8.42 .
c5a5cafaa1ddda6245423feb32338486a37c9fcf,"in the 2000 eurovision song contest , for artists who were under par , the highest number of points was for javiera muñoz ."
01e2b89e223dc9e66c8412ac40610b0ff7b5ae9a,"in the 1994 united states house of representatives elections , the average percentage of votes received by one district is 64.2 % ."
b3420e93ca884ebd855955cf4774c11a2417c3f5,only one of the ultras of oceania has a peak lower than 2400 .
e14020933fa6c7f94b0a9ee16cdc7052daca1660,"in total , 2 of guseppe buttari 's competitions took place in the 110 m hurdles ."
fc91e1c95ecc28c2d8013705225a57bd632e4ad8,the game played on may 9 drew the highest crowd attendance in the 1990 - 91 boston bruins season .
68c1baecfad633a9e0195f9204df8a5e1dc1a6cc,damian paul chopa had the most results in the year 2007 .
65639497454311f879a8ca8ff202be4ac0cc4e56,"in 2010 census of manila , the only district with more than 5000 in population is intramuros ."
23cc7c935ab48162f3019c4284c379ace6cc956f,"in the 1997 world club championship , the wigan warriors had the most points in the season ."
104d43c19cf9008ebdd9f24e9d27ce3052c28877,"the 1995 was the best year for mark blundell , as he earned the most points in his career in 1995 ."
8be9f1cb2cf6c80ccf050ea7f02bfe97723a4cb5,face / off is the only film that john powell has directed that is an antz .
534b130560d3395eefd675d7be59400549169c4e,the latest actual version of the computer system emulator is the slyjs .
a7b179d76470227649dc9879990fe68b58597d3e,the average number of active chapters in canada is 48 .
e2b77e9009d5e8c6ca024e5b569ed131e81608f9,manila has a total of 5 in the port area .
4c694b7103442ed93934286989426f46b58e3027,the average position for orlando pizzolato was in 1987 .
42e125917a2aeec1b51ed83baae82243045d9362,joseph estrada received more votes than jejomar binay .
a1c8b3036158c551660f74e1385f93873fd80266,mandsaur has a greater number of electorates than any other constituent in the mandsaur ( lok sabha constituency ) .
565eb6cd401a99608046c557856d9fcb890626c0,"of all of john powell 's films , john powell 's ' face ' was the earliest one to be released ."
0b0ad23652065569c9869438537b66a05aff9ccf,francisco elson was the only player on the all-time supersonics roster from the pervis ellison country .
8002cbeeb52108a3aae4d4e0674a230b03166225,"of the southern railway locomotives , the one with the earliest year number of wcr no is newport ."
0deb9b65a9fc34a85106f3d9a58a8c5942fbe1ac,three of the paris saint-gerland f c. players played the forward position .
f6be64ccb6791f3b8bba748ea88a0d2b6a17f4b8,"of the railway stations and tram stops in croydon , waddon has the highest number of platforms ."
589b5a4bf0e5fd8b7236762d9415a55708ca74c6,most of the 715 variants have a hand guard type barrel length .
bf6f658dc68e0c120c9c85b113424f845ca99d58,episode 5 had more viewers than episode 7 .
d500484099fa42b53ee2c90064088fdc6df27ee1,most of the releases of the universal masters collection were done so on cd .
28c17494e257bee2469782ee9f922a491f466238,"in the 1991 - 92 manchester united f.c. season , the 2nd to last game featured a viking opponent ."
7901825c94eac07eb04e73b632921b5a0ca86a6d,the majority of these emulators are free software programs .
220f67f009c2f149d087c53716242fbe49676f4b,the majority of börje jansson 's wins were in the 250cc class .
4f570fd84603a6e255e87e483980571adadef387,1962 had the highest amount of votes for the finnish people 's democratic league .
0ac0498cb01c4cf4303a72c9fbf32743143463b7,the majority of the time the crowd was over 10000 people .
032ec7751181dbf4f499414041316f842bf1b844,"in the 1963 season , the new york giants won most of their games ."
2c3de442b8756d7a216c1e92173d09c94774f82b,yuki takahashi used a 250 cc engine in the majority of his races from 2001 to 2012 .
1c4c3af14995f6d5ad29aa28da2c77dec6b27621,"in the 2002 - 03 cleveland cavaliers season , most of the time the team was the cavaliers ."
c7af28e4bc3826504627be7d5d287b281f0be7c4,the average number of times abbech negussie was in the junior division was 2.2 .
4477b5d2c74a374ad64a482a9293c0c3e2ce20da,all games of the 1978 vfl season were played on the 29th of july .
4cf68d6f159a61ce66760123bd6c7c3ca8cdf78c,all games in the 2002 - 03 hong kong first division league were played in the month of 14 .
2fd7494bae7e62703391f67952e6b73d4d8994af,"of the presidents of fifa , jules rimet was the earliest one to take office ."
6ddcfff17550dc72809305c44950c4be66d39349,bong hawkins was acquired in an earlier year than bakari hendrix in the powerade tigers all - time roster .
81d9564cc206c7f48e5b948c0137e363507f3e30,samson and delilah is the only australian submission for best foreign language film .
209a7e19717f28bbaa86d0aa56dbd3f2431fa876,catalina sandino moreno has been nominated 6 times .
cba288f85504e00a300cba2feeb945a79fcd779b,"in the 1932 vfl season , the average crowd size was 7.9 ( 51 ) ."
d5d359f322aee6b4f6de5f7303f4a22a4f8b9a7d,tom moore was the earliest drafted player for the 1960 green bay packers .
2705c239487abe592a0d72b6a7b2e5b1ef3de100,robert speer was the only player the atlanta falcons drafted from arkansas state college .
ce697cacd6d0d5b32db442fa4044268dfdbefd0b,the majority of matches played in the 1981 england rugby union tour of argentina were tour matches .
54233965e796c3b3a2b18e6c5d9dba77a26219a4,"in the 1956 - 57 tunisian ligue professionnel 1 , stade tunisien ranks the highest ."
2ecf9139ab3982889019e4269f38249957a5a140,the majority of contestants won more than 70 medals in the fibt world championships .
6428c23aed103941a717727c0bef07fb340f3f3d,the clermont carn transmitter has the highest erp of all the radio stations .
c9f34877a58b3b1df4d10e6ea76c8a0876d40331,"jorge costa was the only coach in the 2010 - 11 primeira liga who was appointed on december 21 , 2010 ."
de9bede5c06430b4d529a871c798dd0f72194f68,the majority of benedict ako 's results were above 10 in events .
c99f9bfdccf8a25244fe26250abb80fc4549b884,the majority of the time i brought you my bullets was in the cd format .
d7983f37f68a32ea3fdfe002a879e1f022e3804f,two of the models of seat toledo were produced after the year 2000 .
ea2a92d9e918f81af8cc6222cebe0804eaa659fc,"in the 1972 vfl season , among the games on june 12 , 2 of them drew less than 20,000 people ."
95de5130a465be7254c9d818f692ec9798d78587,the match on november 24th had a higher attendance than the match on november 38th .
d1fbe51546e2b7b825cc3221fd61a7e4e5363b0d,"in the 2006 atlantic championship season , raphael matos was the winning driver in the majority of the races ."
59d6f17e010b5ee64c0852ff28cd798e54f87aa0,a total of two of scott savol 's performances were in the bottom three .
b26d374132de832fffa1b017e75acca6c025fdc0,"in the 2003 new england patriots season , 3 defensive tackles were selected ."
65f27e6b0223fb384a0c88d27d9401e45f249b42,for the 1939 vfl season the total combined crowd was 13916 .
d56af4b99f9c79e689c62df9449416b088ea952c,4 cars in the 2008 nascar craftsman truck series were made with toyota .
251993df2967d405b8c7c808c4621ae32ccbdb14,e g green was the only player the indianapolis colts drafted from florida state college .
9ac3a6ab4dc0f7c936a5717ef9fe62c6320bfd91,two of the presidents of the fifa were born in the 1960s .
47c00f197413ff8eb4415b267c22b224cff326cd,the average viewership across all lark rise to candleford episodes is around 6.40 million .
d6dad78091fd67fb6d91b7a12bb6b9a10ae820cd,the majority of schools in the northland conference joined in the year 1998 .
ff9d702f70f79ee10c741a29d732d6e971a408b2,"in the 2007 eneco tour , nick nuyens scored a total of 5 points ."
533fe96c307fd269543a6c2560e8c394273259ed,in the 2011 eurovision song contest the majority of singers from italy were n/a .
9eea4529ed61e396ba0c26dc5acb4570998466ca,gene taylor was first elected 4 years before harold volkmer was .
1578ae99d0606126509c1aaaced6c88e4c833287,the average number of goals for for for the binghamton dusters is 4.16 .
5a6511847c5327a6391cb8e686fde76538dfabc9,the itanium 2 9010 range processors have a total of 1 .
1fc00eee8d5440b6048f5f9861cac54603e56e5c,"in the papal election , september 1276 , the only person to have the order and title of joão pedro julião was joão pedro julião ."
685258bf0621ff3f1d4ae7e1551643c9fa4e8d86,"of the tournaments that charl schwartzel participated in , 2 of them were in the top 5 ."
13ab7eb344cd1dfc11a8e6773ae5bf5dec87ab50,west germany won the most total medals in the 1961 fil world luge championships .
33d9c41bc57572981629c1ad15f55070144abf57,"in the 2008 - 09 season , the only player to leave f.c. internazionale milano was pelé ."
dd3b47e196d8246859203b797fa1b05cd5cfe352,"in the 1976 buffalo bills season , the game against the kansas city chiefs drew the highest attendance ."
ad3003c6a2c1820f4b2814b46f5aa17af1930ff4,"in the 1981 toronto blue jays season , the toronto blue jays lost 7 games ."
a0c5ac84ded4c511b2a8113b42c68aa3690bc8c2,roberto ribaud competed in a total of two competitions in west germany .
00d3454092fa2d3eb683e3f4c9de9d92b4eb10bb,mauri rose had a total of 5 qual points in his career .
6634e7ea6880cacf6a8a2498dfc1822f7ead9e11,most of the winners of the 500 festival open invitation were in the month of may .
45d4d6a745457d06747e06d4dbc7ec522fbaa58a,dale hackbart was the third player drafted in the 1960 green bay packers season .
9b9dc886a6051b44860c4c0893899b661c5d7f67,the warship chacabuco had more horse power than the warship abtao .
e81976e160e473ff905a2fb5e5fa8c24e21ade00,"in the women 's 50 metre freestyle at the 2000 summer olympics , swimmers from 2nd to 5th ranked 3 times ."
322ee56501ad73b759ecd70b9d1bbb1ad4161ec1,chibougamau has the highest population among the municipalities in quebec .
26567c93a3156a2e276c91d86489649477cd1429,all games of the 1955 vfl season were played on the 6th of august .
7728a36be04b0b1888a2dbea6f5323bf2a01a8c1,"in 2007 hip hop music , for artists from nothin ' to somethin ' , the highest amount of 1st week sales was for the album from nothin ' to somethin 's release ."
36b64dbadb6971dca8aea12632e7e86e5ee72808,"in the 2009 - 10 temple owls men 's basketball team , the game against georgetown was the earliest in the season ."
28467bb2496fa0381c8130906b5a111772992bb3,the australian team had the most time in the men 's double sculls at the 2008 summer olympics .
b222a8a9cc367eb5d77bfb78505b2a89bc4afc0b,"in the 1996-97 european challenge cup , the average number of tries for was 15.5 ."
